id;categoria;palavra
1;objetos;cadeira
2;objetos;garrafa
3;objetos;teclado
4;objetos;mochila
5;objetos;tesoura
6;objetos;martelo   
7;objetos;espelho
8;objetos;panela
9;objetos;caderno
10;objetos;relogio
11;objetos;controle
12;objetos;vassoura
13;objetos;telefone
14;animais;cachorro
15;animais;elefante
16;animais;girafa
17;animais;macaco
18;animais;tartaruga
19;animais;coelho
20;animais;galinha
21;animais;jacare
22;animais;golfinho
23;animais;abelha
24;animais;cavalo
25;animais;leopardo
26;animais;pinguim
27;personagens;batman
28;personagens;superman
29;personagens;hulk
30;personagens;thor
31;personagens;homemaranha
32;personagens;flash
33;personagens;coragem
34;personagens;shrek
35;personagens;aladdin
36;personagens;tarzan
37;personagens;hercules
38;personagens;deadpool
39;personagens;wolverine
40;verbos;correr
41;verbos;andar
42;verbos;estudar
43;verbos;trabalhar
44;verbos;comer
45;verbos;beber
46;verbos;dormir
47;verbos;escrever
48;verbos;pensar
49;verbos;viajar
50;verbos;comprar
51;verbos;vender
52;verbos;aprender
53;filmes;titanic
54;filmes;avatar
55;filmes;matrix
56;filmes;interestelar
57;filmes;gladiador
58;filmes;vingadores
59;filmes;frozen
60;filmes;carros
61;filmes;rocky
62;filmes;creed
63;filmes;moana
64;filmes;alien
65;filmes;parasita
66;profissoes;medico
67;profissoes;professor
68;profissoes;advogado
69;profissoes;programador
70;profissoes;engenheiro
71;profissoes;dentista
72;profissoes;motorista
73;profissoes;arquiteto
74;profissoes;vendedor
75;profissoes;cozinheiro
76;profissoes;bombeiro
77;profissoes;jornalista
78;profissoes;mecanico
79;lugares;escola
80;lugares;hospital
81;lugares;mercado
82;lugares;aeroporto
83;lugares;biblioteca
84;lugares;restaurante
85;lugares;fazenda
86;lugares;estadio
87;lugares;parque
88;lugares;museu
89;lugares;shopping
90;lugares;praia
91;lugares;cinema
6a950cc199cd4;animais;porco
6a95df3b5eb16;filmes;carros
